"","s_code","s_name","s_description","s_resource_code","s_sensor_type_code","s_table_name","s_table_type","s_x_offset","s_y_offset","s_z_offset","s_datum_code","s_datum_value","s_graph_value","s_min_value_1","s_max_value_1","s_min_value_2","s_max_value_2","s_min_value_3","s_max_value_3","s_min_value_4","s_max_value_4","s_min_value_5","s_max_value_5","deleted","datestamp"
"598",586,"scevo.data.bom.idy.perth_airport.downsampled.30min.dew_point","scevo.data.bom.idy.perth_airport.downsampled.30min.dew_point",28,4,"sensor_repository_00586","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
"599",587,"scevo.data.bom.idy.perth_airport.downsampled.30min.atmpress","scevo.data.bom.idy.perth_airport.downsampled.30min.atmpress",28,5,"sensor_repository_00587","SAMPLED",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
"600",613,"scevo.data.bom.idy.perth_metro.downsampled.30min.air_temperature","scevo.data.bom.idy.perth_metro.downsampled.30min.air_temperature",29,3,"sensor_repository_00613","SAMPLED",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"601",614,"scevo.data.bom.idy.perth_metro.downsampled.30min.dew_point","scevo.data.bom.idy.perth_metro.downsampled.30min.dew_point",29,4,"sensor_repository_00614","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"602",615,"scevo.data.bom.idy.perth_metro.downsampled.30min.atmpress","scevo.data.bom.idy.perth_metro.downsampled.30min.atmpress",29,5,"sensor_repository_00615","SAMPLED",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"603",616,"scevo.data.bom.idy.perth_metro.downsampled.30min.Rainfall_9am","scevo.data.bom.idy.perth_metro.downsampled.30min.Rainfall_9am",29,8,"sensor_repository_00616","SAMPLED",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:48
"604",617,"scevo.data.bom.idy.perth_metro.downsampled.30min.rainfall","scevo.data.bom.idy.perth_metro.downsampled.30min.rainfall",29,7,"sensor_repository_00617","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:49
"605",618,"scevo.data.bom.idy.perth_metro.downsampled.1hr.wind_speed","scevo.data.bom.idy.perth_metro.downsampled.1hr.wind_speed",29,1,"sensor_repository_00618","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:49
"606",619,"scevo.data.bom.idy.perth_metro.downsampled.1hr.wind_direction","scevo.data.bom.idy.perth_metro.downsampled.1hr.wind_direction",29,2,"sensor_repository_00619","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:49
"607",620,"scevo.data.bom.idy.perth_metro.downsampled.1hr.air_temperature","scevo.data.bom.idy.perth_metro.downsampled.1hr.air_temperature",29,3,"sensor_repository_00620","SAMPLED",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:49
"608",621,"scevo.data.bom.idy.perth_metro.downsampled.1hr.dew_point","scevo.data.bom.idy.perth_metro.downsampled.1hr.dew_point",29,4,"sensor_repository_00621","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"609",622,"scevo.data.bom.idy.perth_metro.downsampled.1hr.atmpress","scevo.data.bom.idy.perth_metro.downsampled.1hr.atmpress",29,5,"sensor_repository_00622","SAMPLED",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"610",623,"scevo.data.bom.idy.perth_metro.downsampled.1hr.Rainfall_9am","scevo.data.bom.idy.perth_metro.downsampled.1hr.Rainfall_9am",29,8,"sensor_repository_00623","SAMPLED",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"611",624,"scevo.data.bom.idy.perth_metro.downsampled.1hr.rainfall","scevo.data.bom.idy.perth_metro.downsampled.1hr.rainfall",29,7,"sensor_repository_00624","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"612",625,"scevo.data.bom.idy.rottnest.raw.wind_speed","scevo.data.bom.idy.rottnest.raw.wind_speed",30,1,"sensor_repository_00625","RAW",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"613",626,"scevo.data.bom.idy.rottnest.raw.wind_direction","scevo.data.bom.idy.rottnest.raw.wind_direction",30,2,"sensor_repository_00626","RAW",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"614",627,"scevo.data.bom.idy.rottnest.raw.air_temperature","scevo.data.bom.idy.rottnest.raw.air_temperature",30,3,"sensor_repository_00627","RAW",0,0,0,2,0,"Air Temperature",0,45,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:50
"615",628,"scevo.data.bom.idy.rottnest.raw.dew_point","scevo.data.bom.idy.rottnest.raw.dew_point",30,4,"sensor_repository_00628","RAW",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:51
